timestamp,title,Years of Experiences ,salary,salaryDate,companyCountry,worktype,workhour,city,currency
2025-08-07 06:14:25,Teaching Assistant,2,16000,2025-08-01,Egyption and site in egypt,On Site,Full Time,Cairo,EGP
2025-08-07 06:39:48,Mid-Level Software Engineer (Django/Python),4,22000,2024-01-01,Egyption and site in egypt,Hybrid,Full Time,Cairo,EGP
2025-08-07 06:46:26,Django Developer,4,23000,2023-11-01,Egyption and site in egypt,Hybrid,Full Time,Cairo,EGP
2025-08-07 07:37:10,Unity game developer,1,10000,2025-07-28,Not Egyption and site out of egypt,Remote,Full Time,Amman,EGP
2025-08-07 07:39:16,Unreal developer (Game Developer),0,500,2025-08-01,Not Egyption and site out of egypt,Remote,Full Time,Dubai,USD
2025-08-07 10:13:00,Backend Developer,4,2300,2025-08-01,Not Egyption and site out of egypt,Remote,Full Time,Baghdad,USD
2025-08-07 10:52:31,PHP | Laravel Backend Developer,2,600,2025-06-01,Not Egyption and site out of egypt,Remote,Full Time,Dubai,USD
2025-08-08 12:49:57,Retail Analyst,1,8800,2024-08-30,Egyption and site in egypt,Remote,Part Time,Cairo,EGP
2025-08-08 12:55:35,Fullstack,2,600,2025-08-08,Not Egyption and site out of egypt,Remote,Full Time,Dubai,USD
2025-08-08 01:11:16,BI Development Team Leader,5,58000,2025-01-01,Egyption and site in egypt,On Site,Full Time,Cairo,EGP
2025-08-08 10:01:36,Computer vision engineer,1,450,2025-08-29,Not Egyption and site out of egypt,Remote,Full Time,Magdeburg,USD
2025-08-08 11:42:48,Senior software engineer III,1,90000,2025-07-01,Egyption and site in egypt,On Site,Full Time,Cairo,EGP
2025-08-08 12:27:03,.Net Developer,2,28000,2025-08-01,Egyption and site in egypt,Hybrid,Full Time,Cairo,EGP
2025-08-08 12:51:30,AI Software R&D Engineer (AI/Backend/Frontend),2,20000,2025-02-02,Egyption and site in egypt,Remote,Full Time,Giza,EGP
2025-08-08 02:58:44,Senior Software Engineer,6,4000,2025-08-08,Not Egyption and site out of egypt,Remote,Full Time,Dubai,USD
2025-08-08 06:56:46,C++ Software Engineer,3,800,2025-08-08,Not Egyption and site out of egypt,Remote,Full Time,Amman,USD
2025-08-08 07:45:41,C++ (Embedded) Software Developer,3,35000,2025-08-08,Egyption and site in egypt,Hybrid,Full Time,Cairo,EGP
